Gene,log2FC,p-value
STAU2-AS1,1.602936556,0.051989965
LINC01271,-2.427593017,0.052036505
LOC105371461,-2.32648812,0.052041809
LOC105374807,-1.185321951,0.052086102
SNORD116-18,-1.913578814,0.052100713
A1BG-AS1,0.543647816,0.052121341
PRKCQ-AS1,-0.870454609,0.052167662
ZNF667,2.044858826,0.052249881
NMU,0.870746841,0.052259731
LOC107984298,1.981121073,0.052287601
CCDC191,0.795687585,0.052290135
PTCHD1-AS,2.264659586,0.052291706
LOC107986858,-2.55602532,0.052304493
LEF1,1.020074938,0.052312745
ZNF555,0.560364778,0.052315493
S100A14,-2.631849453,0.052330441
ANP32C,-1.339408799,0.052361722
LPCAT2,-0.778619933,0.052362931
SCNN1D,0.997835844,0.052434418
LOC101928077,2.816425049,0.052437504
ANAPC5,0.198743119,0.052447162
HOXA1,-2.462841221,0.052452212
MATN4,-1.766822114,0.052456772
LOC107985965,2.903046665,0.052468974
FAAP24,0.390316173,0.05247227
NFIB,1.264599011,0.052474592
LOC105370047,-1.729644434,0.052514658
GMFG,1.345703249,0.052514658
GHRL,-2.270751644,0.052585691
GALNT16,0.754074372,0.052601198
PRORSD1P,0.615057794,0.052656025
LIN28B-AS1,0.979885762,0.052683876
LOC107984989,-1.347017441,0.052713992
TMC3,-1.223537479,0.05288067
LOC107986574,3.061029501,0.052889233
IL11,-1.313812548,0.052942374
POLR2K,0.523594358,0.052965219
CPLX3,1.122899859,0.053000228
LOC102724001,-1.838627015,0.053039574
DPY19L3-DT,-0.861101565,0.05304042
AIFM1,-0.190328079,0.05304042
PBX2_3,-1.175855716,0.05313609
KRTAP5-7,2.862553745,0.05313609
PHKA2-AS1,-1.455224141,0.053209836
PHF24,0.731274191,0.053270671
LOC107986613,-1.761167329,0.053303141
ZCRB1,-0.427184137,0.053347266
ASCC2,0.235004487,0.053443637
LOC344967,-0.499488288,0.053483314
ODF3L2,-1.26131611,0.053519062
LOC284412,-1.460170601,0.053521932
TIFA,-0.634240972,0.053538388
RNVU1-18,2.853118906,0.053542227
ADCYAP1R1,0.673677799,0.053599539
LINC01751,2.624028584,0.053599539
HACD2,-0.335416288,0.053599852
CTCF,-0.25959383,0.05362498
LOC105378998,2.073422329,0.053647012
CSNK1E,0.6114415,0.053667367
MPC2,0.36674586,0.053701396
SNX11,0.285045715,0.053721346
LOC105377754,-2.707304886,0.053777554
DHRS7B,-0.317072157,0.053849913
NAALADL1,0.789880044,0.053896521
HERC2P2_1,1.652956113,0.053958785
LOC105376819,-2.21243857,0.054061833
INTS13,-0.329536712,0.054080802
SEMA7A_1,-2.240994897,0.054118385
SDCCAG8_1,2.265765287,0.054128362
SNORD133,-2.242009528,0.054141861
TMLHE,0.337752791,0.054178129
MRPL32,-0.42756595,0.054187115
RNF144A,0.341633671,0.054199488
LOC100996740,0.685200271,0.054204282
UNC5CL,-0.717713924,0.054245894
LOC101927157,-2.003644897,0.054292358
PWAR5,-0.820644331,0.054320168
NCALD,0.571030774,0.054416153
ZC3H12D,1.79054118,0.054435693
LOC105371998,-1.534812873,0.05444998
SURF6_1,-2.059772799,0.054456169
METTL18,-0.40573099,0.054466476
ILK,-0.63413482,0.054506326
ITGA8,-1.320026196,0.054586309
LOC101927687,1.822149787,0.054602291
F12,-1.018998984,0.054660231
LINC02734,2.421428599,0.05472219
PSMD9,-0.278962831,0.054758083
FBXW9,-0.35715456,0.054770605
HUS1,0.371469628,0.054770605
MRPL54,-0.608823924,0.054774197
H3Y2,-1.884601003,0.054774242
SERF1B,2.44947826,0.05478771
NAA11,-2.218445248,0.054811366
LOC105376340,1.723169203,0.054835813
HRCT1,-2.87890908,0.054858215
DNM1P46,1.650832514,0.054965922
GREM2,0.951629358,0.055049013
SPIDR,0.233180168,0.055076263
LOC101928519,2.974589859,0.055090282
LOC107984537,-2.595665073,0.055094283
ZNF140,0.382259876,0.055110469
NFS1,-0.400680163,0.055114921
MAN1A2,-0.373119115,0.055179155
UBAP2L,-0.212066836,0.055201565
DKFZp451B082,1.400767349,0.055227363
OR52K1,-2.2218939,0.05523307
RNA45SN2,-2.537336514,0.055254909
DDX59-AS1,-2.115120819,0.055281516
ANKRD34A,-1.112690989,0.055281516
ESCO1,-0.400122159,0.055300328
MFHAS1_1,0.306100619,0.05537669
B3GAT1,0.647300255,0.0554076
LOC105374815,1.537371709,0.055418811
LINC01592,2.399708739,0.055421209
LOC105370740,2.837003846,0.055421209
CD300LG,-3.002894042,0.055457015
BLOC1S4,-0.36946337,0.05551103
CHMP3,0.654444552,0.055624164
VEGFB,-0.810944569,0.055643876
SALL3_1,-0.977360837,0.055652274
SMTNL2,1.239024588,0.055658541
H3C4,-2.109653634,0.055669895
LPAR5,-1.647344923,0.055716638
PRDM10,0.335161284,0.055722844
METTL2B,0.201005534,0.055777547
LOC107986650,2.183180798,0.055826756
LOC107985588,-1.817502348,0.055924108
RPS25,-1.926567211,0.055977584
MADCAM1-AS1,1.415014187,0.055996881
GPR78,-2.368628786,0.056028597
NPFF,1.232967282,0.056028597
LOC105374152,-1.380442854,0.056032347
LINC01829,2.552689657,0.056042575
LOC107984859,1.896731054,0.056053306
WFIKKN2,-1.623061809,0.056053762
KCNG3,-1.34348116,0.056317855
SIRPB2,-2.793576414,0.056352039
CCHCR1_5,-2.047961104,0.056376388
LOC107985075,-1.013063686,0.056452793
FREM2,-1.231620961,0.056520829
TIAL1,-0.320036118,0.056542668
TARS2,-0.282312989,0.056564189
LDHA,-2.269687853,0.056654919
CAND1.11,-2.884817008,0.056674373
AIM2,-0.482508329,0.056674373
N6AMT1,0.346981586,0.05670999
FAM27B,1.049080113,0.05670999
PPARGC1A,0.830654422,0.056778253
POP4,0.243981173,0.056790376
SPINK9,2.444367084,0.056856233
H3C12,-2.134083849,0.056927514
LINC02193,2.561788051,0.056927514
LOC102723324,-2.393149743,0.056934278
LOC101929494_1,-2.907978248,0.05696801
CASC18,-1.776125392,0.057016311
LOC105370804,1.960923884,0.057052856
SLC38A5,0.835422428,0.05709527
ADAMTSL4-AS2,-2.037227083,0.057104747
USP42,0.168237179,0.057118482
LOC105372345,1.289157227,0.057138711
HSD17B13,-1.548816197,0.057139192
LOC105376039,1.724680131,0.057207567
LOC102723704,1.945737346,0.057268821
LOC105370869,-3.011904786,0.057279625
LOC100287944,-2.275508887,0.057288755
STK35,-0.283995269,0.057288755
LOC105376959,0.807953601,0.057289631
LOC105377275,-2.676967051,0.057308874
EXOSC4,-0.556492202,0.057353405
CSNK1G3,0.338477115,0.05738846
CYTH2,0.498396002,0.057407382
LOC107984418,-1.707901634,0.057418819
WRAP53,-0.268133086,0.057437109
RUNDC1,0.236590545,0.057517386
SNORD21,-1.842449787,0.057577803
ATG101,-0.38687128,0.057578167
LINC02339,2.736628904,0.057606911
LRCOL1,-2.923717787,0.057618098
BIN2,-3.039539755,0.057651494
SIX2,-1.166005981,0.057669126
LOC100996442,1.315943681,0.057712319
WDR86-AS1,-1.409194877,0.057840237
OAT,0.32806978,0.057844502
ALKBH3,0.380641464,0.057952028
MIR186,-1.113131993,0.058014327
TNS1,0.907725679,0.058052651
LOC102724545,-1.42583013,0.058096303
LOC107986571,-1.693699924,0.058099996
OPTN,0.443627877,0.058148132
APBA2,1.330152629,0.058184697
RNF212,-0.866197376,0.058187506
TREM2,-2.552170252,0.058290832
LOC107986394,-2.594696254,0.058299531
ZNF516-AS1,0.885403755,0.058299531
PRMT5-DT,-2.568471768,0.05831467
COX6B1,0.507788922,0.058322906
MKRN2OS,1.239034709,0.058339594
DNAJB1,-0.424432193,0.058365502
LOC107985946,0.525635935,0.058407264
SRD5A3-AS1,1.543031556,0.058445474
TPH2,-1.930235463,0.058463145
TCEA3_1,-2.99154308,0.058480631
CDKAL1,-0.23138768,0.058493883
CATSPER4,-1.603803902,0.058643015
RPL23AP53,1.607331107,0.058657098
NUP160,-1.160496575,0.05868685
DGCR11,-0.46532359,0.05868685
THOC7,0.251592894,0.05868685
LOC107986712,0.912758892,0.05868685
EIPR1,0.290442317,0.058696941
SNORD116-6,-1.265249905,0.058705895
ESRRA,0.458643243,0.058821836
NFKBIB_1,-1.970163421,0.058849701
LINC01569,-0.938824188,0.058944557
TMEM223,-0.59308155,0.058944557
BLOC1S1,0.461981658,0.05897695
CDK6-AS1,1.570563726,0.059081783
BRIX1,-0.591470444,0.059088003
LINC02246,-0.525721155,0.059140763
LCMT1-AS2,-1.611558351,0.05914459
IK,0.163006753,0.059144801
SLC15A1,-2.755414942,0.059186583
GTF3C4,-0.312907077,0.059254212
DNMT3A,0.25513351,0.059342885
USP25,-0.356882932,0.059353078
PSKH2,-2.720405641,0.059448701
TEX15,-0.670942963,0.059499209
CLEC6A,-2.40496813,0.059563712
LOC107984104,-1.769034814,0.059587253
MTERF4,0.207158256,0.059649536
CLTRN,-0.763783206,0.059676366
LOC105377978,-2.426436024,0.059692594
LOC100128288,1.535697965,0.059706522
DNAJB14,-0.429709942,0.059712876
LOC105373148,1.02099282,0.059712876
FAM157A,-1.173941852,0.059714538
GCDH,-0.427671465,0.059738159
MALRD1,1.437535049,0.059964872
LINC02904_1,-1.851980361,0.059985284
LOC105377358,2.553603954,0.059987045
LOC105378796,2.457538167,0.059995581
MIR3659HG,0.597244295,0.060061806
MIR4477A,1.746080443,0.060124351
TRPC7,2.541139482,0.060153196
ZNF780B,1.705413161,0.060165032
PCAT14,2.032636163,0.0602232
PSG1,-2.92761089,0.060260902
VPS28,0.630886476,0.060279685
TNMD,-2.143264604,0.060411512
DDR1,-1.582743309,0.060453862
PXT1,1.384597616,0.06046733
GARS1,0.447433601,0.060528511
ZNF534,2.543036564,0.060528511
TBC1D17,0.351812422,0.060535006
RAB3GAP2,0.277849176,0.060580525
TMED2-DT,-1.120288274,0.060635185
LOC101929289,-0.892951686,0.060639676
LOC105373828,2.852816965,0.060639676
RPL26,-0.760552733,0.060643651
CHCHD5,-0.375324884,0.06066262
MRPS35-DT,-2.260060086,0.060694732
LINC01786,0.934773833,0.060700421
LOC107985289,-1.580868367,0.060706842
TMEM9B-AS1,0.477304462,0.060795128
LOC105372407,-2.832586543,0.060811316
PRRC2C,-0.37756244,0.060811316
TUBE1,0.397788531,0.060811316
LOC105375864,1.311018431,0.06082947
LOC101928764,-2.103926458,0.060869598
ACSS2,-0.40698278,0.060869598
IGHMBP2,0.245052211,0.060894813
EXO5,0.53246409,0.060978454
OR1F1,-1.984491169,0.061021984
LOC105374948,2.988352424,0.061033996
C11orf1,0.36465971,0.061068062
PRSS36,-1.305236365,0.061109743
TPK1,0.68746048,0.061110241
LOC102724382,1.899903451,0.061111632
LOC105369194,0.775717378,0.061123563
TTC23L,0.483475462,0.06112989
PKDCC,-1.047521949,0.061250778
DCAF8L2,-2.885122862,0.061293815
HNRNPDL,0.28898876,0.061336984
PAFAH1B2P2,-1.328630853,0.061339682
LOC150051,0.654491008,0.061389734
TPTE2P3,1.361262233,0.061403442
PUS10,-0.369738441,0.061481727
LINC01132,-1.968124747,0.061610878
E2F5-DT,-2.135423158,0.061638629
PLA2G7,0.746763221,0.061638629
LOC105369647,-2.669185418,0.061651795
ASB10,2.26828403,0.061668298
SH2B1,0.369544154,0.061758546
GPR65,-2.643478564,0.061962905
SUGT1-DT,-1.048383946,0.062017587
AQP4-AS1,2.074015047,0.062017587
LOC100132287,-0.853997353,0.062037969
AUTS2,0.542082081,0.062061314
ERN2,-0.842297602,0.06210815
SELENOW,0.356898177,0.06210815
METTL4,-0.326808194,0.062156712
ATP13A5-AS1,2.082288152,0.062188599
LOC107985960,2.256716451,0.062199741
IRF7,-1.199406729,0.062239203
CCDC103,0.52611406,0.062311582
OR10AD1,2.049908467,0.062439221
ZFP69,0.279263164,0.062456459
ST6GALNAC4,0.397419648,0.062459346
GABRG3,-0.86208017,0.06250045
LOC105372511,1.338366587,0.06250045
PTRHD1,-0.687860391,0.062640974
HP1BP3,0.220739415,0.062661036
NBPF3,-0.791550452,0.062688727
IGLV1-51,2.753474471,0.062703164
TXNDC17,-0.415221534,0.062714007
SLC22A1,-1.306119166,0.062725562
MCHR2,-2.112073755,0.062747848
LIPT1,-0.381925364,0.062779486
C1orf56,0.28170774,0.062881386
CD81-AS1,-0.808414133,0.062908237
RAD9B,0.700447877,0.062908237
LOC107986290,1.647411793,0.062908237
TRI-TAT2-2,-1.719550892,0.062912636
TPTEP2,1.504594355,0.062916889
NAPEPLD_1,1.263822504,0.062923882
LOC100132356,0.569242115,0.06294046
PRRC2A_6,-2.026703695,0.062989601
SDCBP,0.269550237,0.06299149
LINC01770,-1.647070465,0.063025409
LOC105370163,-2.407015858,0.063027238
PANK2-AS1,1.147074238,0.063066735
HRAT17,-2.957028907,0.063195877
CRYBB3,-1.093410452,0.063232421
CSNK1A1L,1.951114115,0.063232421
ZNF69,-0.691743392,0.063237768
LOC105377921,1.225393029,0.063390725
TCF20_3,2.871495216,0.063757693
SLC37A4,-1.776565587,0.063816641
IVD,-0.149292093,0.063830374
ZFP41,0.346631792,0.063931462
GRPEL2-AS1,2.725630712,0.064098159
LOC102724621,-1.613769423,0.064128608
LOC100134317,-1.006604225,0.064128608
EPOR,0.640966566,0.064249421
NPIPB5_1,-0.571901021,0.064319481
MIR2052HG,2.127084359,0.06436276
LRRC69,-1.288685992,0.064375676
LOC730098,0.42636407,0.064472345
PRIMPOL,0.477428733,0.064607335
LOC107985153,2.804204569,0.064638181
LOC105371314,-2.829642556,0.064653469
UST-AS2,-2.472684317,0.064672666
LOC105375835,1.403361193,0.064723677
FAM157A_1,-1.16820912,0.064772216
NXNL1,-2.892285781,0.064787936
LOC100133077,2.103520508,0.06485384
ATP8B2,0.457796443,0.064995448
DANT2,1.459295894,0.064995448
LOC283335,-0.742485233,0.065034067
ZNF276,-0.531539402,0.06517858
TRIM24,-0.587319656,0.065200552
TPTE2P6,-1.787488841,0.065233628
SCRIB_1,-2.013035985,0.065262773
LOC105370042,-2.480116416,0.065303241
LOC107986846,-2.78843587,0.065331582
LOC105376993,1.868017881,0.065386383
LOC105378539,0.750410444,0.065393345
LOC104613533,2.068444198,0.065396088
LOC100289333,0.889729424,0.065404304
CHRDL2,-1.362736005,0.065406997
H3-3A,0.6655446,0.065406997
DPY19L1P2,0.536789001,0.065413995
SLC13A5,0.72971043,0.0655144
BCAP31,-0.251375083,0.065543245
DMWD,0.34943405,0.065543245
LINC02158,-2.499033995,0.065544599
GALNTL6,1.44685182,0.065584166
PANK1,0.237133002,0.06559321
STYK1,-1.390646663,0.06563311
TPP1,-0.280476604,0.065701096
PRSS16,-1.054041157,0.065716147
TAP2,-1.678659841,0.065742641
CNOT8,0.250121598,0.065864816
TPM3P9,0.399066866,0.065876797
ANKRD34C,2.257387792,0.065893479
LOC112268419,-0.85518256,0.06599195
WASH3P,1.675516205,0.06599195
NABP1-OT1,-2.379168733,0.065994669
ST8SIA6-AS1,-2.562390902,0.06602978
ZNFX1,0.238802393,0.066054844
MPP7,0.514630719,0.066127011
LOC101928323,-0.712710748,0.066180244
LOC105373759,0.966894645,0.066242707
LINC02204,-2.696258353,0.066245791
SIM2,-1.945004087,0.066251347
KDM1A,-0.197663651,0.066310929
LOC112267917,1.276221407,0.066321673
VAV2,0.398099566,0.066333396
SNX31,-2.804208576,0.066337046
CCDC15,0.671832402,0.066365403
IL22RA1,-1.828115491,0.066389038
SPATA31A1,-2.959666588,0.066431669
DCST1-AS1,-0.559754421,0.066431669
LOC112267941,0.948582546,0.066470532
LOC101929418,2.753272238,0.066475932
RPL37,-0.518503823,0.066516279
PIWIL4,0.848166014,0.066516279
YBX1,-0.420578969,0.066518457
LOC107986432,-0.925894677,0.066539822
GPRC5D-AS1,-1.754228673,0.066552701
TMED7,-0.40482608,0.066568092
LOC105372318,2.642182695,0.066568092
LINC02739,-1.544190694,0.066592637
OR1L8,2.739700365,0.066640908
LOC112543491,-1.93658141,0.066654887
GPR83,1.000234938,0.066679196
CCDC81,-0.852952278,0.06671042
URB1-AS1,-1.007872145,0.066748265
CCDC96,0.693388006,0.066768554
RRN3P3,1.84876628,0.066783619
SYNGR4,1.473532283,0.06679346
ASB4,-2.850618541,0.066807699
SNORD103B,-1.409098021,0.066844365
LOC390877,-0.734112251,0.066950503
FAM71E2,-2.300040065,0.067053306
TLR9,1.075685283,0.067075595
LOC102723493,1.411266911,0.067104006
ISCA2,-0.44920256,0.067114409
POLN,0.971217608,0.067246654
LINC02355,2.399833517,0.067278038
ALKAL2,-1.726258977,0.067299142
TMIE,-1.121854257,0.067334576
LOC102724908,-2.574776024,0.067399073
SH3GL1P1,-0.938608093,0.067401927
LOC112268201,1.071663983,0.067526271
LOC105378575,-2.746963636,0.067543019
HIF1AN,0.235240306,0.067547739
ZNF610,0.391940378,0.067662295
ODC1-DT,-0.934900673,0.067721591
LOC112267932,0.924001887,0.067739771
RNF187,1.440271732,0.067776743
EPDR1,-0.696643905,0.06794897
TNFAIP8L2,2.48371496,0.067972851
KCNQ5,-1.699646078,0.068013891
LOC105372614,2.643932907,0.068016406
AGMO,1.209359681,0.068036111
PRIM1,-0.567329745,0.068047667
LINC01621,1.072083658,0.068047667
LOC101927018,-1.372501268,0.0680657
PITX3,-2.063417141,0.068086175
CCDC125,-1.189822808,0.068180088
PAPOLA-DT,-0.603149019,0.068242197
MBOAT4,-1.135354122,0.068259263
RAF1,0.11626068,0.068338926
ANP32AP1,-0.768610351,0.068408225
ZNF57,-0.526911695,0.068414569
ACACB,-0.288026259,0.068414569
IZUMO1,1.290943225,0.068414569
ZNF460-AS1,-1.478516065,0.068660277
ZNF354B,-0.530775604,0.068726138
LOC105378936,-0.846952506,0.068727004
ARHGAP44-AS1,2.095435016,0.068754283
LOC107984919,-2.452834094,0.068766974
LOC102724417,2.319032001,0.068806031
ITGB8,-0.579202777,0.068818848
PTPN9,0.237686231,0.068859433
MRPS26,-0.463201657,0.068911221
CMPK2,1.025558644,0.069024165
EIF2A,0.401275394,0.069033843
TTLL10-AS1,-2.214921426,0.06906892
LHFPL1,0.634960142,0.069093625
LOC105376223,-2.686251298,0.069130049
LOC105375740,0.675277533,0.069199246
MRGPRF-AS1,-2.68748658,0.069384727
LOC112267883,-2.763835202,0.069478744
MAT2A,-0.470475956,0.069484135
LOC102724642,-0.788163041,0.069530968
SFRP4,1.524359223,0.069542469
RPA3,-0.503412361,0.069543936
TNPO1,0.167331765,0.06956551
LOC101929439,2.495513492,0.069565678
FBXO4,-0.537958187,0.069588313
SDHB,-0.329912426,0.069588313
LINC02641,-1.268818808,0.069691086
ATP6V0C,0.522332958,0.069696141
LOC105377908,2.352684255,0.069724092
TRMT2A,-0.392068221,0.069745331
MEP1A,-2.881026543,0.069754443
H19,-2.905405665,0.069792021
PBX2_1,-1.849248955,0.069857761
RMI1,0.418937319,0.069871549
KIAA2012-AS1,-2.5110457,0.069878902
LINC01257,2.259124603,0.069898301
TMPRSS15,-2.423212478,0.069927022
LOC107985304,-1.276123013,0.0699317
KLHL22,-0.235270311,0.0699317
LINC02880,2.536029177,0.069974753
HYMAI,-2.829768134,0.070004932
SOCS7_1,0.761959582,0.070018104
LOC283045,2.486042948,0.070018104
CXCL13,-2.915241026,0.070035435
LOC107984760,-2.662132416,0.070045929
FHIP1B,0.229060526,0.070045929
LOC105375993,2.4216333,0.070141882
PCAT18,2.701909324,0.070141882
ROR1-AS1,2.541605445,0.070147761
IMMT,0.252981609,0.070364329
LOC105369308,2.449952457,0.070386636
LINC01429,-2.695925113,0.070393069
RIC8B,0.414691048,0.070393069
CFAP44,0.999122741,0.070413431
VGF,-0.70321127,0.070439247
LOC112268278,1.429939524,0.070480965
OAS1,1.969272287,0.070521026
LOC107984913,0.680101735,0.070581921
LOC107984318,1.927094269,0.070583724
RO60,0.513652123,0.07063076
LOC105377103,-2.371964209,0.070650296
B4GALNT2,1.480989827,0.070747399
LOC100505715,-2.277004647,0.070768191
NCF2,-1.914220169,0.070808865
GALE,-0.321204094,0.070815485
KCNV1,-2.872278493,0.070914103
RNASEK-C17orf49,0.816558931,0.070914103
CT75,-0.868104648,0.070957501
ANKZF1,-0.551326459,0.070967624
FIGNL1,0.434336931,0.070970947
LOC105370567,1.020117602,0.070970947
LINC02803,1.385398449,0.071101148
LOC105372084,1.799726719,0.071115229
LEPROT,-0.227720984,0.071126938
ZNHIT1,0.362330523,0.071202087
RPP30,-0.264922314,0.07129281
LOC107984140,-1.155021168,0.071338689
MIR7110,-2.095134972,0.071350264
SLC22A18,-0.780698644,0.071484142
H3P6,0.500799647,0.071484142
UBA3,-0.267104315,0.071561899
LOC101929718,-1.224569212,0.071649875
PIP4P1,0.418144205,0.071649875
PRDM4,0.187172681,0.071673516
RRAGC,0.284532276,0.071673516
NFILZ,-2.871664171,0.071731683
SNORD18A,-2.124144734,0.071798232
FASN,-0.467315836,0.071835655
UQCRB-AS1,1.072403658,0.071854256
PPAN,0.413266977,0.071865936
SPANXA2-OT1,2.380662088,0.071865936
EFL1,-0.292179979,0.071907506
LINC00173,-1.350090457,0.071961338
C7orf25,0.278649161,0.071963183
NARF-AS2,0.76657112,0.072064941
LOC105374114,-2.222119333,0.072082131
LOC112268439,1.971160704,0.072094273
NAV2-AS5,2.56280338,0.07209789
TBC1D26-AS1,-1.910824826,0.072109546
CALB2_1,-1.861428085,0.072245473
TRS-GCT3-1,1.379393672,0.072279666
STX5-DT,-1.485777889,0.072335369
TMEM183A,-0.417370397,0.07238399
GPR75,-0.776889165,0.072445577
LOC107986023,-2.063597375,0.07257136
SERHL2,-0.693395997,0.072586418
ELL,-0.363001837,0.072696878
ATP5F1E,0.695018696,0.072742754
TIMM8A,-0.372186033,0.072753699
MIR760,1.907231805,0.072754854
SBF1P1,1.613682078,0.072772289
WDR55,-0.2658904,0.072795413
LOC112268099,-1.78313781,0.072805462
BEAN1,-0.809778877,0.072875823
SEMA3A,0.497723398,0.072899895
C11orf65,-0.889536772,0.072934766
C8orf89,1.78448932,0.073089792
RAD51C,-0.333807551,0.073102583
CLUAP1,-0.283694167,0.073111817
ANKS3,0.261824463,0.07313118
GABARAPL3,1.707281684,0.073211265
MIR4648,-2.161503904,0.073230955
VRK3,0.206571776,0.073249934
CABYR,-0.31455083,0.073349844
PPP2R2A,0.155532951,0.073469358
FAM218A,0.93752071,0.073483968
REPIN1-AS1,0.925993489,0.073518161
CREBBP,0.343180673,0.073665914
TPTE2P2,2.236528927,0.073717994
LOC107987083,-2.079561862,0.073871456
DRC7,-1.521263424,0.074064611
PRKAR1B,-0.631362178,0.074067845
LOC112268025,-2.296195194,0.07421793
DDHD1-DT,2.055741242,0.07421793
SNORD67,-1.788556644,0.074226491
DCDC2,-1.282013129,0.074295364
ACP4,1.123751293,0.074404469
BRD8,0.271811578,0.074423503
C17orf113,0.662474597,0.074474273
CHUK,0.302565046,0.074521044
VARS2_4,2.709480811,0.074532782
LINC01844,-1.421681086,0.074538152
ACTN4_1,-2.06299272,0.074582501
TRIM68,0.241153272,0.074684056
MAST2,0.352298735,0.074695997
NPTX2,-0.49194608,0.074743127
LINC02912,-2.73633773,0.074879025
LOC105370310,-2.599851795,0.074879025
FAM90A27P,-2.306304064,0.075016359
PAQR4,0.415965653,0.075053793
LOC101928864,-1.253201072,0.07524302
CYP2T1P,-0.788571109,0.075444406
IRF2BP2,-0.269953681,0.075450912
TMEM91,-0.484634666,0.07551969
ACE2,-1.191247777,0.075625808
TBC1D3,1.79625267,0.075625808
IGF2,-1.788353067,0.075663981
MLKL,-2.310006397,0.07568833
SENP6,0.188920958,0.07568833
SNORA15B-1,-2.390660765,0.075796468
DENND5B-AS1,1.335127643,0.075882983
ARHGAP17_1,-1.585457859,0.075910147
LOC105374843,-2.861156693,0.07592758
FAM162B,1.537364357,0.076081391
INHA,-1.662994017,0.076091836
CYP19A1,-2.292824054,0.076253835
NUTM1,-1.516165807,0.07625634
ERICH6-AS1,0.738811575,0.07630615
LINC01760,2.746812208,0.076316193
LOC105373570,1.128515,0.076327034
CCDC107,0.444785954,0.076329575
LOC105374727,1.742469371,0.076363163
ATP8B4,1.015078156,0.076423805
LOC105377459,-2.546985419,0.076427668
LOC202181,-0.546581875,0.076580964
WASH8P_1,-2.47569585,0.076603198
SUCO,-0.250352876,0.076659388
LOC105378126,-2.768846065,0.076683074
RIMBP3B,1.402364555,0.076709423
PCDHGA2,1.226352477,0.076712576
OR51E2,-2.72037238,0.076735574
POLR3C,0.330584873,0.076823746
HSPA1B_4,-0.725240659,0.076893858
LOC100270746,-0.563481058,0.076943217
LINC00115,-0.888691914,0.076986324
RPS13,-0.364954098,0.076986324
ARF4-AS1,-0.997648549,0.07702449
LOC100133091,2.132850707,0.077089888
IPO4,-2.206433521,0.077122452
MIR548AR,-1.454547168,0.077122452
SNORA16A,-1.019176278,0.077122452
PNMA2,0.851512399,0.077122452
SNHG32_4,1.904196745,0.077122452
RYR3-DT,-2.083090096,0.077209347
NEMF,0.435962259,0.077227166
EID2B,0.264212317,0.07724214
ABLIM1,-0.343368674,0.077263913
LOC105377861,2.779955563,0.077272329
ITGA10,-1.087426739,0.077285914
SLC17A5,-0.532997573,0.077290515
FREM3,1.983481005,0.077305079
MSANTD3,0.25556803,0.07746581
ABITRAM,-0.304411245,0.077530833
SNORD116-8,-1.890059703,0.07763902
ATP13A1,-0.253394187,0.077688071
ZNF696,0.380067858,0.077718995
PPP6R2,0.232211013,0.077747364
CDK17,0.277465693,0.077870749
LOC101927088,2.511855742,0.078004023
LOC105376003,2.798828299,0.07805458
LOC107984763,-2.009652796,0.078100912
BACE1-AS,0.413149125,0.078100912
FXYD3,-1.415858648,0.07811636
LOC107987057,-0.959374547,0.078244223
OTOGL,-1.634918255,0.078244548
SNORD119,-2.592542517,0.078270513
EPHB6,0.925048892,0.078321991
LINC01763,2.364933687,0.078343113
CTNS,-0.260993266,0.078451273
LOC105372321,1.179003102,0.0784696
SPDYE21,1.465577513,0.0784696
LOC101927344,-2.229232418,0.078472395
LOC105372841,2.493880928,0.078519155
RNFT1-DT,1.022449479,0.078542903
LRIG2,0.363259968,0.078627855
FAM177B,1.653006568,0.078663188
RARS1,-0.227362252,0.078684621
ST6GALNAC6,-0.430694017,0.078690489
DOLK,-0.372301592,0.078721914
LOC107985000,-1.676222844,0.07875574
MRPL58,-0.39493774,0.07875574
LOC101928268,-2.238151965,0.0787806
LOC101929918,0.503391551,0.078785357
RBM26,-0.312955433,0.078915099
LOC105378433,-2.442854908,0.079003847
LOC105378726,-1.294380252,0.079010565
PIP4K2B,0.845794121,0.079112429
NTSR1,1.041250693,0.079112429
GNL1,2.537854319,0.079112429
CEACAM21,-2.48742195,0.079216913
LOC107986246,-0.94601714,0.079279708
RBMXL2,-2.476789123,0.079289554
GALNT16-AS1,0.58588366,0.079301038
LOC100129203,-0.9040014,0.079449804
RALGPS2,0.306841521,0.079482928
LOC341056,-1.305073886,0.079547106
LBP,-2.437937296,0.079615757
WIPI2,0.242346997,0.079625546
EME2,0.778178773,0.079626781
ADAP2,-0.878061091,0.079753709
C5AR1,0.957481915,0.079767775
LOC105369149,-2.57269544,0.07983993
SEMA5B,0.440944059,0.079875088
LOC105376287,-2.115657199,0.079919577
NUTM2A-AS1,0.2771851,0.079946551
USP37,0.417658385,0.079946551
LINC01494,1.966079011,0.079996401
THRAP3,-0.330455231,0.080033422
HLA-A_3,-1.40304729,0.080065696
LOC729558,1.847246343,0.080113479
LOC102724419,-2.797433573,0.0801295
H2AC16,-1.925191654,0.0801295
ZNF701,-0.291640742,0.080131866
LOC91548,-2.631488451,0.080346547
LOC105376485,2.096654243,0.080570814
H3-5,0.491488551,0.080608866
FAM153A,-2.682206663,0.080626318
MAST4-AS1,-2.430112524,0.080715636
MICALL2,-0.579166427,0.08075317
LOC112268198,0.948992165,0.08075317
