Gene,logFC,FDR
LOC100506076,2.27165667,0.016722108
LOC107986868,-3.888838243,0.016727322
NPIPB3_1,-1.279318628,0.016727322
LYZ,2.138304238,0.016731043
LINC02031,-3.905202398,0.016737934
VAMP5,-2.300664213,0.01675599
SLC2A9,-1.877137677,0.016761733
KATNIP,0.54838446,0.016777758
TSLP,-3.821201012,0.016783997
SNORA105A,-1.933905482,0.016787052
TMX3,-0.433505761,0.016801651
SNRK-AS1,1.814986715,0.016801651
RPUSD2,-0.62444783,0.016819408
SPACA6,0.991188835,0.016819408
PLA2G1B,2.404987876,0.016825248
TLR7,-3.94111767,0.016829424
LINC02128,2.748053651,0.016919559
ERC2-IT1,-3.079427212,0.016922004
SNORA71C,-2.802341212,0.016924381
UBASH3A,-3.39532121,0.016934797
EIF2AK3,-0.400593981,0.016936252
FBXO24,-1.763253887,0.016936707
TTC26,-0.385171531,0.016943108
LINC02904_1,2.731240437,0.016949893
LOC105377703,-3.503030557,0.016959985
EID2,0.776504971,0.016959985
CMTM5,-2.99330421,0.016962038
LOC105371505,-2.241032506,0.016966136
FBXO15,1.298619629,0.016967931
DOCK9-DT,1.418119347,0.016993082
CENPS,-0.727988569,0.01700911
FH,0.265456939,0.017020753
LOC107986273,-2.258580174,0.017029331
LCNL1,-3.755837545,0.017043482
SQSTM1_1,3.055221474,0.017043482
UST-AS2,-3.895714429,0.017052539
TUBGCP3,-0.407445437,0.017132886
COG5,2.340395984,0.017184771
COL20A1,-1.53041191,0.017192119
DNAJC25,-0.359806682,0.017194034
RNF44,0.538039685,0.017228804
POSTN,-2.809933514,0.017233335
SUPT4H1,0.822454805,0.017258781
ZNF672,0.735000971,0.017281083
PATE4,-3.929859917,0.017302497
KLHL18,0.483342159,0.017311061
C12orf57,0.918375186,0.017366183
AK8,1.197636898,0.017367149
CHN2-AS1,-3.896285182,0.017381714
DOC2B_1,2.237039378,0.017384649
DLG2,-0.643947256,0.017480915
SOS1,0.526883831,0.017486041
LOC105371952,-3.83809571,0.017496268
LOC112268064,1.543292267,0.01750689
ABHD12,-0.442050766,0.017513573
OR2M4,2.797286088,0.017520494
HIPK4,-1.719252532,0.017534139
RHOBTB1,0.466294212,0.017542481
ARHGAP42-AS1,-2.539936498,0.017568093
GUSBP3,1.695777337,0.017634298
LOC107985388,1.083320251,0.017639776
SCLY,-1.795607393,0.017661233
ZNF232-AS1,0.812363687,0.01766214
LINC02281,3.197344229,0.017666364
ZNF718,0.791486174,0.017689381
ARGFXP2,-3.390578425,0.017694421
WNK4,0.950687857,0.017697613
DYRK2,0.511845095,0.017705629
KCTD4,-3.176234082,0.017718637
LOC105371361,-2.902273937,0.017722021
IKZF3,-3.490855449,0.017744746
ZNF594-DT,2.317637779,0.017744913
STXBP5L,0.706994066,0.017746855
CD200R1L,-3.794188817,0.017754978
OVCA2,1.182424352,0.017756965
LOC105374985,-1.807848677,0.017763794
LOC105373871,-3.669339416,0.017845278
ZMYM6,0.278929424,0.017899376
LINC01414,2.242968305,0.017915499
FAM133A,0.815471368,0.017925482
LOC102723814,1.523167994,0.01792781
LOC105372841,-2.386570261,0.017928434
CYREN,-0.392946013,0.017935724
CLYBL-AS2,-3.440194851,0.017970835
ZNF236-DT,0.902943468,0.017988585
ACSL5,2.102761615,0.01801576
C11orf45,-1.958607083,0.018035244
MICOS10P1,-3.217630742,0.018047426
UHRF1BP1L,-0.459117611,0.018128807
LOC105378473,-3.837114599,0.018131888
BRIX1,-0.878023856,0.018153588
TRPV6_1,-3.51692159,0.018210653
LOC101928906,-2.596330377,0.018210653
PIP5KL1,0.594159354,0.018218353
LOC105370531,-3.678766376,0.018230172
FANCE,-0.425317218,0.018232283
KLHL36,0.499520694,0.018237959
LOC107984113,-3.900391644,0.018301675
LOC105377202,-3.901999283,0.018308476
NR6A1,-0.371542435,0.018308476
SPHK2,0.787202022,0.018308476
TDRD10,-2.508856203,0.018309875
TMPRSS11D,-3.897047939,0.018318396
GRM5,1.51630308,0.018318396
MYO3B,-2.195963481,0.01832243
MESD,-0.264594559,0.018342587
ARL9,-1.685313584,0.018359154
MAN2C1,0.463410715,0.018370397
TADA2A,1.864360272,0.018379126
MIR1296,-3.894769126,0.018380285
LOC101928502,-3.820404497,0.01839672
LOC107986379,2.758373068,0.01839868
LOC105375532,-3.898769402,0.018415524
LOC105378947,2.807883262,0.018434776
LOC105372585,-2.372574412,0.018435285
NKILA,-1.819645524,0.018436581
IL10RB,0.579634463,0.018444098
IRF1-AS1,2.375559698,0.018445009
PFDN4,-0.56916697,0.018455798
JAZF1-AS1,2.76819596,0.018464665
CACNG1,2.331030205,0.01847289
DLL3,0.594338316,0.018487782
ARHGEF33,1.036680499,0.018505173
WDR83,0.648147448,0.018522003
STAG3L1,1.294744581,0.018604503
PCDHB18P,2.279220584,0.018639917
ATAT1_6,2.563070092,0.018649437
SOSTDC1,-1.84242345,0.018659141
TTC28-AS1,-0.41987459,0.018659141
LINC00311,-3.862542094,0.018671287
TMEM45A,-0.64544328,0.018671287
RGS22,1.809517705,0.018671287
ARF4,-0.306046296,0.018681644
LOC107985206,1.062060859,0.018682611
ERRFI1,-0.347710302,0.018702757
SPNS3,2.38288754,0.018702757
WASHC5-AS1,-2.412198927,0.01871124
LOC102724949,-3.746968586,0.018732032
LOC105379383,-3.746968586,0.018732032
LOC105378374,-3.746968586,0.018732032
ITIH3,2.563332471,0.018753464
HORMAD2-AS1,-2.293144431,0.01878337
LOC105374593,3.06099909,0.01879151
PSMC5,-0.340480406,0.018828413
GIP,-2.774073511,0.018883941
HYPK,0.904422924,0.018889995
CCDC85B,-1.006762549,0.018903555
NSUN6,-0.409134153,0.018908558
PTCD2,-0.391544139,0.018918792
DELEC1,-3.351422642,0.018935168
NCK2,0.394493225,0.018939513
SPC25,-3.809272477,0.018977243
TMEM213,-2.299878062,0.018977243
MIR210HG_1,-1.252622669,0.018981477
CDAN1,0.406508011,0.01898375
PPP1R14B,-0.974370723,0.019000306
RAPSN,-3.360037155,0.01908759
RNF25,1.071136557,0.019091077
CCN5,2.85722224,0.019124502
LOC101928045,-1.609848967,0.019147829
NPIPB13_1,-1.364306202,0.019151359
LINC02019,1.174387759,0.019151359
TMEM123-DT,-2.554182452,0.019151426
BIRC6-AS2,-3.838109191,0.019165242
CCN6,2.093059754,0.019167527
SEC31A,-0.495008106,0.019173326
HNRNPD-DT,0.701552896,0.019173969
LPEQ6126,-2.966002115,0.019184928
ZAN,-3.856281053,0.019189984
CKB,0.556643443,0.019198608
MIR3939,-2.939080626,0.019202034
EVI5,-0.610509637,0.019202493
LOC107984789,2.895428948,0.019204895
MAP4K2,-0.433844736,0.019242157
ANKRD63,2.26243942,0.01926335
PPP1R15B,0.256884233,0.019272071
MYO9A,0.846015275,0.019290661
LOC102723846,-3.472874585,0.019327177
OR52N2,-3.597422487,0.019343581
LOC105374421,2.724936816,0.019353475
LINC00052,-3.364012372,0.019354306
LINC01424,-1.765353337,0.019404895
TNFRSF6B,2.58780466,0.019440868
PPIAL4A,-2.791030852,0.019458336
LOC105369578,-3.647976655,0.019479304
STAG3L2,0.639823512,0.01948354
LOC105378035,1.851959385,0.019487005
PARD6G,0.511942234,0.019488416
ACTR3,-0.27027276,0.019505891
LOC101928119,-3.813922171,0.019528653
ARHGEF26_1,-3.863957175,0.019553345
AP1B1,0.417777577,0.01956169
SEMA7A_1,2.97892175,0.019563392
LOC105370203,1.50006723,0.019566871
CNOT3,-0.916046087,0.019568182
LOC105373163,2.771729787,0.019579191
ATP2C1,0.511225034,0.019585683
SCNN1G,-1.667121305,0.019588035
POLE4,-0.460035463,0.019595625
LOC107984950,0.601390317,0.019601836
DAO,2.43826143,0.019601836
E2F5-DT,-3.016157798,0.019603522
LOC101928081,-2.697912018,0.019613639
XKR9,-1.759223327,0.019617762
STARD9,0.54120311,0.01962252
MUC4_1,-3.529445637,0.019626286
NXNL2,0.958710787,0.01965457
SPCS2,0.559661063,0.019661574
SCARNA27,-2.086552116,0.019665242
PNPLA1,2.247214156,0.019678731
TMEM120B,-0.411941486,0.019709376
LOC107984535,-3.712434675,0.019723693
CGRRF1,0.331253156,0.019736032
ITGA8,2.703741156,0.019736032
STUB1,0.88599671,0.019753536
LOC105376384,-2.056869841,0.019775307
LINC02796,-3.575366325,0.019782166
SIGLEC6,-3.786132521,0.019793834
TNFAIP6,-3.840100217,0.019798
MIR573,-1.64527474,0.019830514
RBM11,0.790351827,0.019857089
FOXI3,1.449872225,0.019857089
LOC105375382,1.117624,0.019865888
TWSG1-DT,-1.227083082,0.019894978
TMPRSS9,-2.288619995,0.01990278
LOC107987181,1.335959513,0.019918057
SPINT1-AS1,-1.537282295,0.019928813
UBN2,-0.811588123,0.019970297
ATP6V0A4,-1.864347249,0.019986293
S100A14,-3.760963557,0.020013199
TOMM70,0.221967142,0.020013199
LOC105376171,-3.559993478,0.02005219
LOC107986659,-3.805900437,0.020075685
RNF113B,-3.699916734,0.020115506
SNORA52,-1.482834962,0.020163059
WWP1-AS1,1.222339745,0.020182478
PDLIM4,-0.561868244,0.020201735
FLOT1_7,2.305330081,0.020203088
RFXAP,-0.442129249,0.020238701
TRIM69_1,2.627573008,0.020247632
CLDN2,2.755815233,0.020260262
ZC3H7A,-0.232166032,0.020269727
FANK1,1.105927189,0.020296535
KYNU,-3.178727986,0.020310565
TMED10P1,0.916239165,0.020311115
CEP83-DT,1.342480575,0.02031634
LOC100287036,-3.331487908,0.020319729
RAPGEF4-AS1,1.978631379,0.020320189
MAB21L3,2.008080051,0.020329114
ZBTB40,0.443793405,0.020332054
LOC105377699,-3.690879905,0.020358839
COL1A1,-1.230642735,0.020365839
ARAP1-AS2,-2.537903952,0.02037929
MYL4,-2.558317634,0.02038655
STARD3,0.692604047,0.020461921
NME9,1.489167812,0.020474644
CDR2_1,-0.867689189,0.020528114
LOC105375237,2.422420401,0.020528114
OCLNP1_1,-3.791269321,0.020548985
ACTR2,0.246469981,0.020556774
SERPINB9P1,-2.667449198,0.020576905
TRUB1,0.288886231,0.020576905
CLDN23,-2.186324869,0.020594918
AMZ1,0.532494743,0.020632809
HTR5A-AS1,1.916527591,0.020686154
C3orf35,-1.527915197,0.020710131
UCN2,2.183999601,0.020727401
LOC105372859,-1.715860689,0.020783569
FGD1,0.551528541,0.020785105
LOC105376725,-2.133287527,0.020830622
LRRC19,-3.189407142,0.020874931
LCN2,-3.770578758,0.020877566
LUC7L,-0.420081388,0.020877566
GTPBP3,0.388789534,0.020884277
VPS35L,-0.339570127,0.020904523
ILRUN,-0.259103062,0.020909203
WBSCR23,-2.117921194,0.020919615
CITED1,1.192782725,0.020933528
SDAD1-AS1,-3.779412635,0.020942026
CLDND2,1.013431104,0.020972043
ZNF3,-0.29312844,0.020980031
RIMBP3B,2.238215934,0.020981957
OXGR1,-2.635487409,0.020999783
ALX1,-1.962265854,0.020999783
LOC102031319,-3.321675287,0.0210038
CENATAC_1,2.798319258,0.021023244
LOC102723686,-2.658398957,0.021051986
FOXA2,-3.817057203,0.021053685
HBA2,-3.787512933,0.021093669
C2orf27A,0.517418663,0.021105603
SLC23A1,1.105874226,0.021105603
NPIPB15,0.786232551,0.021107815
LOC100507336,-3.472225298,0.021131145
KLF9-DT,-3.443635643,0.021138781
JMJD4,0.76588355,0.021138781
LOC105379123,2.496755011,0.021143081
LOC105378419,2.350272314,0.021154719
LOC105376232,-3.816368767,0.021220066
LINC01937,-3.79305625,0.021245115
LOC105374051,-2.996912391,0.021247753
LOC729451,-3.814787984,0.021278294
PLCZ1,-3.814748974,0.021278294
LOC107986405,-3.666388167,0.021284892
ADGRD2,-3.195850657,0.021327765
WASH5P,1.302681777,0.021337274
TACR3,1.538688817,0.021348457
LOC112267877,-1.509742579,0.021362013
POU3F1,0.333851206,0.021428826
PLEKHA8P1,-0.724570543,0.021429679
CALCA,-3.395409194,0.021461461
H4C9,-1.098247031,0.021461461
ABHD17A,1.161070644,0.021461461
LOC105373250,2.325132282,0.02147687
ZSCAN21,-0.420893383,0.021478112
PDRG1,0.377068228,0.021478984
GNGT2,-3.754536255,0.021494359
LOC101927089,-3.333266179,0.021522309
MTRF1L,0.632186334,0.02152772
TACR2,1.553264023,0.021530193
CDHR4,-3.50885263,0.021539381
DPY19L3-DT,-1.494230304,0.021575706
UBE2Q2P2,1.432556898,0.02160564
LOC112268048,-3.778440098,0.021619252
SIAH2,0.454056874,0.02165878
TMEM220,-0.684004558,0.021688999
MYH8,-3.647524685,0.021690026
HORMAD2,-3.77993218,0.021692175
MRPS18B_1,-2.042912036,0.021692803
SMIM7,0.289912742,0.021692803
CRYGN,-2.209962187,0.021702305
TUBB8,-1.544188221,0.021708245
LOC105373037,-3.795309121,0.021709844
TMEM273,1.99427294,0.021711266
LOC101927727,-3.802216106,0.021724454
PLAGL2,-0.673603392,0.021733078
PLPP5,0.2714549,0.021757571
OR5H2,-3.646884507,0.021798657
MACC1-AS1,-3.591682662,0.021815587
S100A10,-1.310383268,0.021824767
LOC105376026,2.615236209,0.021824972
LOC107986197,-1.233521838,0.021837839
NSUN5,-0.534200734,0.021857432
METTL25B,0.372968188,0.021868436
C1orf167,-3.70980563,0.021873591
LINC02701,2.481680292,0.021910142
NFKBIA,-0.289006353,0.021956967
ATM,-0.598613143,0.022000857
FCER2,-3.793770176,0.02201302
LOC107986162,1.081075346,0.022017375
PABPN1L,2.054438477,0.022024995
LOC102724319,-3.730221692,0.022026094
EPS8,0.764368093,0.022032898
CALHM5,1.280069322,0.022063629
GSG1L,-1.727657829,0.02209173
PPTC7,0.565949699,0.02209324
LOC105369616,-3.792260713,0.022101318
BRAP,-0.284645528,0.022116657
FSD1,0.39002947,0.022129274
LOC107985721,2.672806325,0.022137924
AP4M1,0.32869481,0.022140846
TTPA,-2.757592921,0.022206439
GH2,-3.765072582,0.022238851
PGAM5,-0.911914452,0.022247324
LOC101929963,-3.185108409,0.02233143
SPINK13,2.703916442,0.022343542
TMEM18-DT,-3.60714072,0.022355847
RHOT2,-0.500871101,0.022355847
BAALC-AS1,2.432666615,0.022375562
LSM14A_1,-0.976155597,0.022377137
COX7A2L,0.385282988,0.022392205
IGFBP5,1.75464947,0.022417218
LOC105375347,-3.773431784,0.022420745
HTRA4,-3.568990794,0.02246125
NAIP_1,1.852242661,0.02246125
RHOJ,-2.704966279,0.022467508
GLT6D1,-3.763424183,0.022481495
THOC5,-0.370598008,0.022508615
PDC-AS1,2.079492077,0.022509726
ARHGEF7-AS1,2.564260142,0.022532671
MIR1302-3,1.793576672,0.022543702
HEATR6,-0.326826734,0.0225443
LCMT2,0.742212965,0.02255033
LOC107987004,2.130311054,0.022551197
ORAI1_1,-1.604413278,0.022639936
MPV17L2,-0.585893155,0.022655669
OSR2,-3.696449891,0.022660119
MRPL57,-0.623280282,0.022660119
GMFG,2.070389813,0.022671998
CBR3,-2.606734535,0.022692579
STIM1-AS1,2.095779416,0.022692579
LINC02883,1.756897668,0.022704092
PTTG1IP,-0.28297191,0.022709477
ZRANB2-AS2,2.604730863,0.022710544
JADE3,-0.59218192,0.022717543
ABCA10,1.795059636,0.022740934
NPIPB12,-1.211168883,0.022744496
C1orf87,-2.791829714,0.022745159
ERAP1,0.392652041,0.022749781
PDE6B-AS1,1.167099318,0.022756224
ANKRD17,-0.640004713,0.022764718
MCM3AP,-0.384178632,0.0227702
TYK2,0.362921226,0.022789723
ADH6,-2.331084382,0.022797671
LOC105377675,-3.709624024,0.022808927
LOC105371227,-2.619197132,0.022822149
ATP2C2,-0.956166074,0.022854262
KMT2B,0.636821416,0.022857327
NUDT14,0.879137911,0.022875736
RAB11A,0.252480268,0.022886396
UNC13C,1.395005265,0.022911234
LOC105374519,-3.703040881,0.022923623
ZNF16,-0.462392338,0.022923623
AZGP1,-3.728644831,0.022924765
LOC105374042,-3.590809006,0.022955913
AK5,0.924026772,0.022961583
GSS,0.337812207,0.022965006
FXYD3,-2.942112379,0.023002802
SNX24,0.34956383,0.023022664
LOC101927702,-3.375370082,0.023039224
C4orf51,-2.916064559,0.023065349
TDRD3,-0.604128107,0.023065349
BRWD3,-0.806227541,0.023073372
CDKN2A,2.316553859,0.023082007
RHOXF1,1.682683178,0.023085925
LOC101928120,1.604148855,0.023094393
CX3CL1,-2.025048838,0.023097038
ELAVL1,-0.433001288,0.023161399
LINC01099,-3.733021675,0.02316217
ABHD12B,-1.591985218,0.02316217
UBN1,-0.304067875,0.02318686
LPAL2,1.384713063,0.02318686
IL18BP,0.910300071,0.023246122
DLX4,-3.690203915,0.02325192
SBDSP1,0.679751003,0.02325192
BHLHB9,1.346073541,0.023259538
EEF1AKMT1,0.678463086,0.023261711
SNORD88C,-3.713441005,0.023274558
DELE1,0.313225237,0.023344715
NINJ2,-1.102272396,0.023356023
MAP3K20-AS1,-3.604663363,0.023363047
CA9,-2.197938791,0.023363373
LOC105377971,-2.390942847,0.023364727
LOC105376586,3.229656557,0.023392883
GNA15,-2.676508751,0.023393937
TPTE2P2,-3.555521936,0.023409953
ATP8B5P,-2.038907918,0.023469511
PRAP1,-2.452654087,0.023469828
DOC2GP,-1.988524266,0.023488018
ARID3B,0.703628234,0.023513946
TBC1D16,0.735205368,0.023536635
TCP11X2,2.999165256,0.023536635
EDN3,1.301013635,0.023570015
FAM91A1,-0.355297536,0.02359572
ABR_2,2.217606522,0.023599166
FPR3,-3.709809387,0.023600319
STEAP3-AS1,1.858368478,0.023624372
LOC105376806,-2.038863223,0.023637405
LOC105377320,-3.590719867,0.023649461
LRRC66,1.394301583,0.023649461
ARFGEF2,0.452098471,0.023668212
ANAPC15,-0.730166614,0.023676421
CRIM1-DT_1,2.644856566,0.023681068
SLX4,0.521808294,0.023703935
DCAF13P3,-2.121293074,0.023717225
LOC107985021,-3.56734621,0.02372035
LOC105378773,-3.619596295,0.02372061
CLEC4A,1.467271017,0.023722372
PRUNE1,0.205742986,0.023748757
IFIT1,-1.066125121,0.023755373
MED12,0.65107232,0.023773659
LOC105379183,2.638470191,0.023797553
FBXO4,0.915322893,0.023805984
CCNT2-AS1,-0.654498385,0.023826645
KLHL23,0.889902741,0.023868099
SLC27A1,0.564686025,0.023872473
LOC105376277,2.996527475,0.023889497
LINC01137,-2.080349882,0.023895176
IDH3A,0.467566302,0.02391698
PATE3,-3.724983007,0.023925988
ABCC3,-3.716162604,0.023966257
ASPN,-3.726974082,0.023968114
ARID4B,-0.690361082,0.023972642
ANKZF1,-0.501509192,0.024035192
SNORD116-6,-2.111257778,0.024049933
MAZ,0.621428879,0.024049933
LOC105379377,-2.658602938,0.024050818
AKR1B10,-3.278100022,0.024101908
LOC105375713,-2.263149421,0.024119336
FAM166C,2.806883812,0.024146187
LOC105372141,-1.208617428,0.024215201
CDKL3,0.634223875,0.024246078
LOC102724149,1.872060478,0.024286894
SLC12A9-AS1,-3.666821857,0.024300123
LOC105377725,-2.7095227,0.024361345
TFPT,3.390343874,0.024384988
LOC105374363,0.639987135,0.024389814
TTC29,1.326001062,0.024392916
PIGG,0.278654346,0.024422918
LOC107984336,-3.509361635,0.024423108
LOC105374953,-3.720792664,0.024430316
TMEM100,1.299113932,0.024439156
FTSJ1,0.418605229,0.02444064
ZNF275,0.521438297,0.024483689
HEATR5A-DT,-2.127572844,0.024486576
RCBTB1,0.331490385,0.024496924
LOC101929506,-2.332669801,0.024504599
SKA1_1,-3.725641312,0.024522582
PGP,-0.49665181,0.024552667
LOC107985168,-2.992700914,0.024576121
SMN2_1,-1.792560337,0.02458375
NAPSB,2.101985764,0.024600506
DLG2-AS2,-3.239677721,0.024602092
ADARB2-AS1,-2.557003559,0.024612278
TACR1,1.241818949,0.02464192
THNSL2,-1.05829875,0.024673077
LOC105375240,2.465481288,0.024680913
MRPL51,-0.722121127,0.024691453
ACY1,-2.440669459,0.024700039
MYO1G,2.46155719,0.024734712
INO80B,1.75346643,0.024767119
ELP6,-0.428634419,0.024812416
POLR3H,0.776952607,0.024815139
LOC105378861,-3.358269992,0.024819201
HSPA1B_4,1.073828431,0.024847664
GOLGA8N_2,2.695390049,0.024848691
LOC107985712,-3.177962691,0.024851583
GCSH,-0.863070682,0.024861284
LOC101929185,-0.782767177,0.02487205
SPIDR,0.237443481,0.024884543
EMC6,0.968043195,0.024892735
LOC407835,-1.851050976,0.024901155
LOC105375144,-3.670962539,0.024923494
ZNF890P,1.996292934,0.024935831
ARLNC1,1.844560299,0.024990126
TSPAN19,2.308002522,0.025012179
HSPA2-AS1,-2.753235008,0.025039425
MKS1,0.3068062,0.02509825
LOC107986669,1.630923098,0.025113695
C8orf76,-0.6085539,0.025116084
PDE6B,0.505047376,0.025128122
SNORD58A,-1.646506803,0.025142471
ITCH,-0.247688567,0.0251815
BICD1,0.52114602,0.025226363
STX18,0.515049556,0.025246381
SIX2,-2.245867446,0.025256535
ATG2A,0.589480327,0.025265605
PAPOLG,-0.474844346,0.025300627
PCDHGA1,1.301964381,0.025300627
TTC1,-0.532696055,0.025317137
MYH3,-1.104469917,0.025326906
MAGEE2,2.577346328,0.02537753
C1QTNF12,-1.502008768,0.025390022
RIC8A,0.856822472,0.025420349
LOC101928882,-3.667806373,0.025443822
LOC105376201,-3.667806373,0.025443822
AHSP,-3.667806373,0.025443822
CACNG6,-1.999505362,0.025452545
EMP1,-1.027193744,0.025460297
LOC107985171,-3.39607945,0.025483276
SLC34A3,1.435017289,0.025485355
CMTM1,1.025646429,0.025491407
MFAP1,-0.291023636,0.025495109
ETFA,0.324601414,0.025559608
RNF222,-3.025258083,0.025559667
PPP2R5D,0.431151274,0.02556151
ADAMTSL2,-1.011206552,0.025573754
TMEM241,-0.331270696,0.02559187
SNRPG,-1.018542691,0.025597342
RPS29,-0.4796521,0.0256021
MYG1,-0.540433568,0.025603458
LOC107985011,-3.690803181,0.025605646
LOC107987116,2.131771975,0.025625666
MINDY4B,-3.533668309,0.025660813
MRPL12,-1.112781551,0.025668995
AP4B1-AS1,1.835721625,0.025669467
LOC107984919,-3.684341406,0.025677081
LOC105373953,-3.691444558,0.025677861
SNORA19,-3.56624555,0.025677861
POLD4,-0.657880826,0.02568533
HOOK3,0.605897171,0.025715743
LOC101927066,2.008765789,0.025762686
MAGEC3,2.845767972,0.025791231
LOC100131532,1.879111735,0.025814515
LOC112268421,-3.231641786,0.025867101
BTF3L4,0.150016331,0.025893596
LINC00334,1.904389628,0.025894652
ABCC9,2.899234044,0.025896194
ABR,1.55037498,0.025897721
NUP214,-0.599887062,0.025945849
FOXB2,-3.508258295,0.026067833
BTG4,-3.212064366,0.026068803
AGER_6,-3.692045776,0.026078239
LOC105378421,-1.579837396,0.026086165
PRKAG2-AS1,1.732781553,0.026105291
LINC02414,-3.593632876,0.026117658
GPR171,-3.625408475,0.026121402
TMPRSS11A,-3.625408475,0.026121402
B3GALT9,-1.078213042,0.026146105
MDH1,-0.44972627,0.026153787
CASP2,-0.422581677,0.026161025
TMCO1,0.364330783,0.026232262
LOC107986755,-3.140557226,0.026240637
ATP2A1,-0.709924375,0.02625569
TTC23L-AS1,1.361069024,0.026266768
SMAD3,0.314865755,0.026270027
CYYR1-AS1,-2.754683466,0.026293401
LOC107985143,-3.330335377,0.026310033
FAAP20,-0.656909441,0.026334898
CSGALNACT1,1.27207554,0.026371166
HELZ-AS1,2.115535529,0.026403706
CMYA5,-1.033686419,0.02643421
ARMC10,-0.412795979,0.026451787
C2CD2,0.312389724,0.026474329
RMDN2,-0.773630729,0.026481939
LINC01181,2.67798954,0.026539169
LOC112268076,-2.389629137,0.026574165
LOC105372617,-3.635281625,0.026607221
HSF4,1.918414368,0.026607221
PPM1M,-0.568115998,0.026649336
IZUMO2,-3.62229694,0.026665861
JRK,0.422361344,0.026785763
HMCES,-0.413264229,0.026809392
LOC107987125,2.380173,0.02684093
ZNF286A,0.23376253,0.026841641
LINC02166,1.156234523,0.026877918
USP5,0.39154416,0.026899786
LOC105375426,-3.197036069,0.02693743
SHBG,0.877088601,0.026962729
YTHDF1,-0.335425064,0.026963787
INTS11,-0.256162512,0.026991489
TANGO2,0.646345034,0.0270125
LINC02145,2.295462129,0.0270125
DBN1,0.874415291,0.027019076
LOC107986707,-2.840347366,0.027023287
LOC107985039,-3.499718664,0.027033032
TBC1D3E,2.241620602,0.027062666
HSD17B3,-2.37082579,0.027081073
LOC105379549,-3.490304581,0.027106047
RYBP,1.340733746,0.027114062
SLIT3-AS2,2.643832058,0.027130498
EQTN,-3.576393052,0.027177473
LOC105375897,2.268293524,0.027208292
ZNF17,0.375949285,0.027272376
CSMD2,0.963800275,0.0272758
LINC01505,2.79507395,0.027298735
SURF6,2.528469696,0.027318885
PSMA4,-0.461851706,0.027343014
FBXL13,-0.711150818,0.027348926
ALKBH2,-0.666877329,0.027351992
LINC01004,-1.018412714,0.027389515
XYLB,0.854143367,0.027422014
GDPD4,-1.837350196,0.027422761
LOC728485,-1.608258466,0.027432339
LINC01990,1.927344996,0.027446629
LOC105370588,-3.024451399,0.027473061
SNORA65,-1.538381263,0.02748382
TRIM29,-3.371513389,0.027511222
LOC105374501,-3.408177315,0.027521587
LDHAL6A,1.308541441,0.027521587
TSFM,-0.393927925,0.027546725
DGUOK-AS1,-2.252841335,0.027583399
MNS1,-1.59860497,0.027656806
LOC105372269,2.100286036,0.027656806
LOC107984329,-1.504957605,0.0276794
CYP3A5,-1.456740821,0.027684478
DENND1B,0.756771595,0.027687099
SPDYE12P,1.272063807,0.027698308
CEP43,-0.386057444,0.02769903
LOC112268186,1.495613909,0.027794889
CISD2,0.450562762,0.027815854
NR1D2,-0.464895003,0.027824034
ARHGEF5,-3.0846881,0.027908725
KCNK2,1.360570007,0.027967334
LOC100506178,-1.837029534,0.027977822
C16orf95-DT,1.884875199,0.028057863
RBPMS-AS1,-2.519911161,0.028092429
LOC107985876,-3.577992702,0.028096977
RTF2,0.353017543,0.028118739
ADA2,0.310546017,0.028172179
LOC112268163,1.685913906,0.028227473
SUMO2,-0.504887685,0.028293096
DGCR8,-0.356867603,0.028429703
RNF217-AS1,1.992621711,0.028430105
LOC107987285,-3.324939433,0.028432967
OSCAR,-3.137052234,0.02844747
TRC-GCA7-1,2.217211189,0.028460994
LRRC8D,-0.246755616,0.028471756
SLC25A11,0.335725157,0.028478241
LOC102724262,-2.91928673,0.028507751
GATAD2A,-0.763184638,0.028507751
ALKAL2,-2.293961871,0.028539243
MTVR2,-3.619237036,0.028623643
DGKA,0.524254766,0.028638729
ZNF812P,-2.817107963,0.028641824
MFSD4A-AS1,2.169841041,0.028655296
LOC105374352,-2.753723842,0.028658758
TMEM187,0.855641786,0.02867094
LOC107985367,1.425963264,0.028673364
PDCD4-AS1,0.634243296,0.028711454
LUC7L3,-0.473149325,0.028717031
SNX17,-0.318068275,0.02872345
CBWD5,0.712041478,0.028726888
GJD3,0.868855973,0.028756598
SUMF2,0.320618896,0.028757089
LOC107985736,2.087747582,0.028757089
LOC107984158,-2.535894418,0.02876939
HIF1A,-0.500052638,0.028820696
EIF4E2,0.417495006,0.028850987
UBA6,-0.4328398,0.028875976
LOC105375245,-3.617758258,0.028877557
HLA-A_5,-2.758001383,0.028888186
BMP6,-1.49704575,0.028888186
AKAIN1,2.318557108,0.028888186
SLC9B1,-2.026440583,0.028915974
TMCO5A,-3.617791279,0.028943584
LINC00861,-2.633926334,0.028950602
CFP,1.266698775,0.028950602
BCRP2,2.495293297,0.028996311
LOC105377621,-1.713185788,0.029010566
LOC100996664,-3.453888265,0.029049597
GPS1,-0.236768404,0.029070413
LOC105378426,-3.448577774,0.029131132
LINC01416,-3.448577774,0.029131132
H3Y1,2.46073585,0.029156941
LOC107984455,-1.554145229,0.029166184
MEIG1,1.945155458,0.029166184
PDZD2,-0.779257728,0.029300519
HNRNPK,-0.504759166,0.02940257
